Gruppe;Anzahl;Minuten;Stunden;MB;GB
"1900-1949";77;8005;133,4;530607;518,17
"1950-1959";138;15084;251,4;1064339;1039,39
"1960";18;2115;35,3;138610;135,36
"1961";19;2399;40;166104;162,21
"1962";20;2523;42,1;187649;183,25
"1963";20;2376;39,6;155791;152,14
"1964";19;2196;36,6;152149;148,58
"1965";22;2704;45,1;193855;189,31
"1966";24;2859;47,7;189155;184,72
"1967";21;2283;38,1;144290;140,91
"1968";22;2589;43,2;156058;152,4
"1969";19;2227;37,1;148647;145,16
"1970";21;2354;39,2;170168;166,18
"1971";25;2722;45,4;195163;190,59
"1972";23;2487;41,5;165431;161,55
"1973";27;3124;52,1;222462;217,25
"1974";30;3349;55,8;225968;220,67
"1975";24;2724;45,4;204647;199,85
"1976";28;3362;56;243018;237,32
"1977";30;3408;56,8;247001;241,21
"1978";28;3103;51,7;222714;217,49
"1979";26;2997;50;208343;203,46
"1980";30;3224;53,7;232622;227,17
"1981";30;3462;57,7;235391;229,87
"1982";28;3287;54,8;244323;238,6
"1983";32;3422;57;255127;249,15
"1984";43;4749;79,2;305352;298,2
"1985";40;4365;72,8;332656;324,86
"1986";47;5158;86;384858;375,84
"1987";47;4979;83;381868;372,92
"1988";63;6851;114,2;608361;594,1
"1989";51;5638;94;406787;397,25
"1990";49;5345;89,1;414415;404,7
"1991";50;5593;93,2;388906;379,79
"1992";54;6210;103,5;415775;406,03
"1993";65;7647;127,5;530073;517,65
"1994";64;6923;115,4;501304;489,55
"1995";82;9129;152,2;632923;618,09
"1996";75;8377;139,6;546844;534,03
"1997";80;9222;153,7;636719;621,8
"1998";83;9247;154,1;576279;562,77
"1999";78;8602;143,4;566361;553,09
"2-Dilogie(A-F)\1900 - Novecento";2;315;5,3;26828;26,2
"2-Dilogie(A-F)\2 Tage";2;196;3,3;14632;14,29
"2-Dilogie(A-F)\2001-2010";2;264;4,4;22322;21,8
"2-Dilogie(A-F)\3 Engel für Charlie";2;204;3,4;8252;8,06
"2-Dilogie(A-F)\48 Stunden";2;187;3,1;8150;7,96
"2-Dilogie(A-F)\Ace Ventura";2;176;2,9;13813;13,49
"2-Dilogie(A-F)\Addams Family";2;183;3,1;9697;9,47
"2-Dilogie(A-F)\Agent Hamilton";2;199;3,3;11795;11,52
"2-Dilogie(A-F)\Alice im Wunderland";4;440;7,3;29089;28,41
"2-Dilogie(A-F)\Alien Domicile";2;148;2,5;11325;11,06
"2-Dilogie(A-F)\American Werewolf";2;194;3,2;18636;18,2
"2-Dilogie(A-F)\Anatomie";2;200;3,3;18810;18,37
"2-Dilogie(A-F)\Annie";2;245;4,1;18605;18,17
"2-Dilogie(A-F)\Auf dem Highway";2;204;3,4;14151;13,82
"2-Dilogie(A-F)\Auf der Flucht - Jagd";2;261;4,4;13834;13,51
"2-Dilogie(A-F)\Auf der Jagd nach";2;212;3,5;15236;14,88
"2-Dilogie(A-F)\Auswanderer - Neue Land";2;393;6,6;9204;8,99
"2-Dilogie(A-F)\Backdraft";2;137;2,3;13208;12,9
"2-Dilogie(A-F)\Bad Moms";2;204;3,4;13957;13,63
"2-Dilogie(A-F)\Bad Neighbors";2;189;3,2;14284;13,95
"2-Dilogie(A-F)\Bad Santa";2;183;3,1;15113;14,76
"2-Dilogie(A-F)\Bahubali";2;304;5,1;18758;18,32
"2-Dilogie(A-F)\Bailey";2;208;3,5;11662;11,39
"2-Dilogie(A-F)\Best Exotic Marigold Hotel";2;246;4,1;18933;18,49
"2-Dilogie(A-F)\Bill & Teds verrückte Reise";2;179;3;13434;13,12
"2-Dilogie(A-F)\Blade Runner";3;443;7,4;34611;33,8
"2-Dilogie(A-F)\Blue Crush";2;216;3,6;16219;15,84
"2-Dilogie(A-F)\Blues Brothers";2;256;4,3;22015;21,5
"2-Dilogie(A-F)\Born to Race";2;191;3,2;7352;7,18
"2-Dilogie(A-F)\Bruce - Evan Allmächtig";2;197;3,3;12614;12,32
"2-Dilogie(A-F)\Burning";1;89;1,5;3205;3,13
"2-Dilogie(A-F)\Carlos - Der Schakal";2;668;11,1;30720;30
"2-Dilogie(A-F)\Che";2;269;4,5;18124;17,7
"2-Dilogie(A-F)\Chinatown";2;258;4,3;17315;16,91
"2-Dilogie(A-F)\City of God";2;236;3,9;17366;16,96
"2-Dilogie(A-F)\Clerks";2;188;3,1;12738;12,44
"2-Dilogie(A-F)\Cocoon";2;228;3,8;11949;11,67
"2-Dilogie(A-F)\Daddy's Home";2;195;3,3;13761;13,44
"2-Dilogie(A-F)\Dance Academy";2;187;3,1;12267;11,98
"2-Dilogie(A-F)\Deep Blue Sea";2;198;3,3;17202;16,8
"2-Dilogie(A-F)\Deine, meine, unsere";2;199;3,3;14601;14,26
"2-Dilogie(A-F)\Denk wie ein Mann";2;228;3,8;8079;7,89
"2-Dilogie(A-F)\Dirty Dancing";2;186;3,1;9093;8,88
"2-Dilogie(A-F)\Dogville";2;310;5,2;11714;11,44
"2-Dilogie(A-F)\Doktor Proktor";2;182;3;8467;8,27
"2-Dilogie(A-F)\Drei Männer und";2;205;3,4;9840;9,61
"2-Dilogie(A-F)\Dumm und Dümmer";2;221;3,7;14089;13,76
"2-Dilogie(A-F)\Easy Money";2;220;3,7;17387;16,98
"2-Dilogie(A-F)\Echoes";2;188;3,1;14468;14,13
"2-Dilogie(A-F)\Eddie and the Cruisers";2;190;3,2;13434;13,12
"2-Dilogie(A-F)\Eine - Keine";2;186;3,1;11612;11,34
"2-Dilogie(A-F)\Eiskalte Engel";2;177;3;9942;9,71
"2-Dilogie(A-F)\Elite Squad";2;230;3,8;18380;17,95
"2-Dilogie(A-F)\Elling";2;160;2,7;1545;1,51
"2-Dilogie(A-F)\Equalizer";2;253;4,2;28774;28,1
